Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Lango,Kwania District,4,7,11,13261,6358,19619.0,16694,6575,23269,5068,3907,8975,7416,6482.0,13898,4,7,11,13257,6352,19609,16648,6551.0,23199,7409,6476,13885,5063,3906,8969,65673,4,7,11,12819,6068,18887,16051,6311,22362,7105,6243,13348,4843,3744,8587,1031,1859,2890,42443,23329,65772,7420,6489,13909,183304.0,216125.0,1223.0,212594.341,173.8302052,1.9033,32.7633,2023,308.9122678011453,173.83020523303352
Bugisu,Kween District,0,0,0,2108,1969,4077.0,5328,3871,9199,893,804,1697,875,774.0,1649,0,0,0,2034,1938,3972,5004,3812.0,8816,820,725,1545,844,786,1630,15963,0,0,0,1918,1851,3769,4753,3669,8422,747,671,1418,771,725,1496,50,119,169,9204,7418,16622,875,774,1649,93667.0,129277.0,851.0,125177.9399,147.0951115,1.4126,34.5528,2023,127.52246931649655,147.0951115158637
North Central,Kyankwanzi District,16,8,24,6382,4618,11000.0,9189,4957,14146,3608,2901,6509,4741,4283.0,9024,11,4,15,5936,4372,10308,8232,4514.0,12746,4427,3983,8410,3416,2731,6147,37626,11,4,15,5706,4173,9879,7825,4227,12052,4187,3810,7997,3291,2593,5884,590,1591,2181,23936,16767,40703,4757,4291,9048,214693.0,278432.0,2455.0,271287.0236,110.5038793,1.2061,31.8164,2023,138.69443330056865,110.50387926680246
Tooro,Kyegegwa District,1086,867,1953,21742,16394,38136.0,30951,17941,48892,14908,12082,26990,15711,14324.0,30035,967,781,1748,17218,13339,30557,23964,14689.0,38653,12731,11495,24226,11968,9867,21835,117019,1042,834,1876,20860,15576,36436,27915,16317,44232,14987,13716,28703,13926,11324,25250,915,2937,3852,84398,61608,146006,16797,15191,31988,281637.0,501120.0,1882.0,473060.3332,251.3604321,0.4818,31.055,2023,247.36591040814835,251.36043209351755
Tooro,Kyenjojo District,226,153,379,15533,11880,27413.0,22678,15001,37679,7734,6489,14223,8585,8019.0,16604,154,67,221,14411,11048,25459,19077,12471.0,31548,7912,7331,15243,7176,5934,13110,85581,149,67,216,14265,10940,25205,18678,12535,31213,7693,7229,14922,7173,5899,13072,542,1372,1914,54756,41542,96298,8811,8172,16983,422204.0,543998.0,2352.0,530383.2584,225.5030861,0.6093,30.6401,2023,161.35690304058812,225.5030860544218
South Central,Kyotera District,25,13,38,14651,12890,27541.0,17265,11116,28381,7820,7118,14938,6582,6013.0,12595,17,14,31,14580,12830,27410,16451,10980.0,27431,6531,5980,12511,7787,7097,14884,82267,16,14,30,14554,12812,27366,16312,10915,27227,6511,5962,12473,7751,7058,14809,349,1275,1624,46343,37150,83493,6607,6026,12633,239563.0,275917.0,1723.0,272046.1523,157.8909763,0.6359,31.5456,2023,302.4008952322168,157.89097637840976
Acholi,Lamwo District,50,39,89,52848,42246,95094.0,32350,11119,43469,21740,20173,41913,21861,21814.0,43675,46,34,80,44066,33670,77736,27312,9488.0,36800,19069,18986,38055,18293,16894,35187,187858,46,36,82,51982,51674,103656,31796,10902,42698,21566,21466,43032,21470,19963,41433,1006,2190,3196,128849,95391,224240,21911,21853,43764,134371.0,213156.0,5588.0,203544.0261,36.42520152,3.491,32.808,2023,922.9354631499058,36.425201521116676
Lango,Lango,383,338,721,193839,97245,291084.0,227475,79594,307069,77920,59037,136957,101407,91599.0,193006,367,321,688,192289,96385,288674,225243,78866.0,304109,100466,90582,191048,77137,58458,135595,920114,355,311,666,189735,95023,284758,221751,77709,299460,99049,89346,188395,75975,57632,133607,15164,29984,45148,601024,327813,928837,101790,91937,193727,2061694.0,2546118.0,12856.0,2492947.285,193.9131367,0.0,0.0,2023,369.086825676701,193.9131366677038
Lango,Lira City,80,88,168,8910,5593,14503.0,15848,7745,23593,4266,3885,8151,6331,6347.0,12678,67,79,146,8578,5284,13862,15373,7424.0,22797,6005,6018,12023,3969,3606,7575,56403,58,72,130,8464,5197,13661,14997,7263,22260,5902,5890,11792,3874,3517,7391,348,1157,1505,35435,23658,59093,6411,6435,12846,207482.0,245132.0,285.0,241078.2611,845.8886356,2.2596,32.8903,2023,233.96136898716,845.8886354385965
Lango,Lira District,10,9,19,14217,6975,21192.0,20683,6298,26981,6293,4576,10869,8736,7407.0,16143,10,9,19,14198,6965,21163,20639,6271.0,26910,8696,7360,16056,6265,4564,10829,74977,9,9,18,14117,6937,21054,20509,6244,26753,8630,7309,15939,6252,4551,10803,592,1214,1806,49939,25265,75204,8746,7416,16162,200561.0,242216.0,1046.0,237687.9657,227.2351489,2.2316,32.9438,2023,315.4429791141925,227.23514885277245
Busoga,Luuka District,18,14,32,28573,14764,43337.0,42913,15061,57974,16766,12039,28805,23895,19962.0,43857,15,11,26,28505,14704,43209,42793,14965.0,57758,23824,19876,43700,16743,12020,28763,173456,15,11,26,28306,14608,42914,42763,14822,57585,23596,19661,43257,16584,11891,28475,2887,6783,9670,112165,61840,174005,23913,19976,43889,238020.0,298639.0,650.0,291939.7391,449.1380601,0.7251,33.3037,2023,594.1500137485051,449.13806015384614
North Central,Luwero District,96,78,174,26945,23808,50753.0,34620,20010,54630,14504,13661,28165,13839,13610.0,27449,71,47,118,26058,23206,49264,29202,18811.0,48013,13207,12749,25956,14131,13269,27400,150751,61,39,100,25520,22752,48272,28583,18409,46992,12881,12545,25426,14157,13077,27234,998,2879,3877,90004,71167,161171,13935,13688,27623,456958.0,616242.0,2216.0,598086.216,269.8945018,0.8271,0.0,2023,252.05563339717563,269.8945018050542
South Central,Lwengo District,24,26,50,10422,8554,18976.0,11754,6292,18046,5297,4685,9982,5052,4730.0,9782,22,26,48,10292,8492,18784,11544,6069.0,17613,4952,4643,9595,5249,4647,9896,55936,22,26,48,9794,8133,17927,10992,5823,16815,4726,4478,9204,5028,4422,9450,317,1010,1327,32549,24287,56836,5076,4756,9832,262604.0,325263.0,988.0,318376.7394,322.2436634,0.4165,31.3999,2023,175.69122702058803,322.2436633603239
South Central,Lyantonde District,4,3,7,5341,4611,9952.0,5847,3688,9535,2802,2484,5286,1875,1877.0,3752,4,3,7,5329,4609,9938,5833,3665.0,9498,1871,1872,3743,2796,2480,5276,28462,4,3,7,5014,4344,9358,5602,3493,9095,1765,1761,3526,2628,2329,4957,109,309,418,15869,12663,28532,1879,1880,3759,93753.0,133017.0,887.0,128444.334,144.8075919,0.2241,31.2168,2023,221.59015593478807,144.80759188275084
West Nile,Madi-Okollo District,72,51,123,32213,22693,54906.0,27211,9394,36605,16855,14225,31080,17485,17444.0,34929,72,51,123,31416,21730,53146,26879,9269.0,36148,17112,17077,34189,17580,13776,31356,154962,72,50,122,31034,21795,52829,26342,9132,35474,16861,16813,33674,16377,13828,30205,1171,2292,3463,93836,63807,157643,17557,17495,35052,140188.0,178051.0,2048.0,173844.5417,84.88503013,2.8218,31.2168,2023,891.382602436922,84.88503012695313
Bugisu,Manafwa District,7,7,14,5204,4070,9274.0,8648,5481,14129,3936,3300,7236,5911,5418.0,11329,7,7,14,5073,3965,9038,8238,5256.0,13494,5693,5262,10955,3767,3168,6935,40436,7,7,14,4911,3831,8742,7955,5149,13104,5542,5143,10685,3580,3045,6625,567,925,1492,23706,18276,41982,5918,5425,11343,149544.0,186917.0,237.0,182793.5306,771.2807197,0.0,0.0,2023,221.21132989375064,771.2807198312237
West Nile,Maracha District,2,4,6,27577,16210,43787.0,23836,8258,32094,14749,10368,25117,11648,10569.0,22217,2,4,6,27560,16205,43765,23793,8238.0,32031,11644,10553,22197,14747,10363,25110,123109,2,3,5,25692,15319,41011,22227,8253,30480,10898,9875,20773,14103,9797,23900,1880,4149,6029,77812,45409,123221,11650,10573,22223,186134.0,234712.0,440.0,229331.8295,521.2087035,3.2873,30.9403,2023,536.8160201242367,521.2087034090908
South Central,Masaka City,19,5,24,3319,3081,6400.0,5167,3867,9034,1864,1776,3640,1852,1937.0,3789,18,6,24,3265,3024,6289,4922,3712.0,8634,1828,1905,3733,1849,1760,3609,22289,17,5,22,3278,3036,6314,5004,3744,8748,1825,1915,3740,1845,1751,3596,175,532,707,12221,10666,22887,1871,1942,3813,211591.0,294166.0,340.0,284631.4903,837.151442,0.3427,31.7369,2023,78.30827143021848,837.1514420588236
South Central,Masaka District,12,8,20,2470,2461,4931.0,3144,2134,5278,1399,1242,2641,1034,1018.0,2052,12,8,20,2470,2456,4926,3132,2086.0,5218,1039,1017,2056,1391,1241,2632,14852,12,8,20,2480,2456,4936,3132,2088,5220,1038,1015,2053,1391,1241,2632,84,241,325,8059,6863,14922,1046,1026,2072,106626.0,115455.0,855.0,114540.1593,133.9650986,0.4464,31.9018,2023,129.66631171779767,133.96509859649123
Bunyoro,Masindi District,9,4,13,10710,8379,19089.0,13882,8878,22760,5785,5102,10887,6995,6372.0,13367,9,4,13,10273,8199,18472,13320,8552.0,21872,6745,6154,12899,5653,4926,10579,63835,9,4,13,16351,7920,24271,13056,8496,21552,6562,6033,12595,5432,4837,10269,566,1046,1612,37381,28735,66116,7004,6376,13380,291113.0,342635.0,3891.0,337096.8633,86.63502013,1.6873,31.7138,2023,189.36693558963765,86.63502012336161
Busoga,Mayuge District,24,20,44,25973,13911,39884.0,42460,16669,59129,16149,12420,28569,22375,19878.0,42253,24,20,44,25811,13838,39649,42202,16565.0,58767,22258,19776,42034,16069,12377,28446,168940,24,19,43,25045,13486,38531,40916,16233,57149,21666,19268,40934,15654,12024,27678,2484,4813,7297,106981,62898,169879,22399,19898,42297,473239.0,577563.0,1075.0,566170.8169,526.6705273,0.3125,33.528,2023,298.39051211613236,526.6705273488371
Bugisu,Mbale City,123,131,254,9776,6174,15950.0,20230,10729,30959,5050,4332,9382,7814,7006.0,14820,87,83,170,9612,6075,15687,19688,10409.0,30097,7710,6875,14585,4979,4259,9238,69777,87,83,170,9490,5963,15453,19166,10133,29299,7491,6743,14234,4913,4212,9125,535,1463,1998,42993,28372,71365,7937,7137,15074,266617.0,290414.0,156.0,287941.7087,1845.780184,1.0871,34.1781,2023,242.3302977364043,1845.780183974359
Bugisu,Mbale District,5,7,12,10519,6911,17430.0,16171,7568,23739,5539,4478,10017,8460,7139.0,15599,1,0,1,10462,6863,17325,15996,7506.0,23502,8428,7116,15544,5496,4436,9932,66304,1,0,1,10399,6822,17221,15970,7431,23401,8416,7073,15489,5474,4404,9878,776,1373,2149,40694,26103,66797,8465,7146,15611,222343.0,290356.0,360.0,282709.2839,785.3035663,1.0344,34.1977,2023,234.5306778940202,785.3035663888888
Ankole,Mbarara City,5,3,8,1339,1227,2566.0,2877,2390,5267,1242,1227,2469,1532,1544.0,3076,2,2,4,1041,970,2011,2377,2055.0,4432,726,752,1478,564,534,1098,9023,2,2,4,1022,952,1974,2341,2046,4387,721,744,1465,556,524,1080,27,135,162,6995,6391,13386,1537,1547,3084,199066.0,264425.0,471.0,257022.9895,545.6963684,0.6121,0.0,2023,35.105809085611,545.6963683651804
Ankole,Mbarara District,4,2,6,2804,2883,5687.0,3757,2295,6052,1412,1296,2708,1227,1127.0,2354,4,1,5,2682,2752,5434,3409,2112.0,5521,1087,984,2071,1344,1212,2556,15587,4,1,5,2616,2676,5292,3281,2074,5355,1079,969,2048,1317,1203,2520,39,190,229,9204,7603,16807,1231,1129,2360,145838.0,174039.0,773.0,170989.3224,221.2022282,0.6121,30.6373,2023,91.15773886475147,221.20222820181112
Ankole,Mitooma District,34,24,58,3737,3267,7004.0,7020,4408,11428,1969,1662,3631,1630,1341.0,2971,32,25,57,3485,3043,6528,6441,4090.0,10531,1472,1201,2673,1779,1490,3269,23058,32,24,56,3308,2879,6187,6207,3979,10186,1411,1148,2559,1701,1423,3124,80,273,353,14390,10702,25092,1664,1365,3029,183444.0,226009.0,544.0,221341.8378,406.8783782,0.6193,30.0203,2023,104.17370809415047,406.8783783088235
North Central,Mityana District,22,20,42,20320,16881,37201.0,27811,19989,47800,11642,10328,21970,10999,10190.0,21189,23,27,50,18498,15604,34102,24608,15599.0,40207,10051,9435,19486,10714,9540,20254,114099,23,19,42,19463,16391,35854,26253,16329,42582,10431,9810,20241,11287,10063,21350,567,1841,2408,70794,57408,128202,11021,10210,21231,328964.0,407386.0,1525.0,398768.0252,261.4872296,0.4016,32.044,2023,286.1287585502229,261.48722963934426
Karamoja,Moroto District,26,21,47,4900,3504,8404.0,5862,3540,9402,2868,2646,5514,6400,6354.0,12754,23,15,38,4861,3487,8348,5812,3431.0,9243,6372,6325,12697,2850,2635,5485,35811,23,15,38,4804,3426,8230,5698,3372,9070,6306,6257,12563,2815,2602,5417,164,547,711,20056,16065,36121,6426,6375,12801,103432.0,103639.0,3533.0,103618.2814,29.32869555,2.7495,34.5971,2023,345.6050372207775,29.32869555618455
West Nile,Moyo District,13,21,34,18161,14382,32543.0,14095,6347,20442,9906,8746,18652,9476,9607.0,19083,13,21,34,17904,14194,32098,13881,6257.0,20138,9402,9534,18936,9795,8661,18456,89662,13,21,34,17730,14063,31793,13698,6200,19898,9299,9383,18682,9804,8593,18397,279,781,1060,51651,39103,90754,9489,9628,19117,95951.0,109572.0,1072.0,108127.1063,100.8648379,3.636,31.7651,2023,829.2277770870115,100.86483796641791
South Central,Mpigi District,28,5,33,6226,5853,12079.0,10451,7786,18237,3410,4160,7570,3643,3667.0,7310,26,4,30,5975,5710,11685,9720,7158.0,16878,3431,3473,6904,3318,2971,6289,41786,27,4,31,5923,5646,11569,9684,7250,16934,3532,3453,6985,3274,2920,6194,233,810,1043,23758,21471,45229,3671,3672,7343,250548.0,326690.0,1204.0,318134.9265,264.2316665,0.2274,32.3249,2023,131.3467856538537,264.2316665282392
North Central,Mubende District,55,118,173,14507,10957,25464.0,23656,17958,41614,7372,6561,13933,7641,6979.0,14620,55,119,174,14202,10735,24937,22861,17433.0,40294,7408,6754,14162,7195,6336,13531,93098,55,114,169,14241,10753,24994,23090,17616,40706,7428,6765,14193,7203,6324,13527,748,1879,2627,53231,42573,95804,7696,7097,14793,412804.0,522015.0,2711.0,509904.7692,188.0873365,0.449,31.3542,2023,182.57919051446282,188.08733648100332
North Central,Mukono District,396,317,713,20385,17163,37548.0,31340,20295,51635,13211,11580,24791,12221,11206.0,23427,201,204,405,18744,16039,34783,28604,18419.0,47023,10960,10139,21099,11644,10156,21800,125110,239,179,418,18521,15882,34403,28309,18254,46563,10945,10065,21010,11626,10186,21812,882,3172,4054,77553,60561,138114,12617,11523,24140,596804.0,929224.0,1831.0,888979.0962,485.5156178,0.2835,0.0,2023,140.73446781233773,485.51561780447844
Karamoja,Nabilatuk District,24,20,44,3765,2167,5932.0,4929,1388,6317,2858,2138,4996,9852,8513.0,18365,24,20,44,3765,2167,5932,4929,1388.0,6317,9852,8510,18362,2858,2138,4996,35651,24,20,44,3640,2116,5756,4732,1363,6095,9364,8063,17427,2800,2097,4897,203,523,726,21428,14226,35654,9876,8533,18409,68409.0,136785.0,1561.0,127627.9964,81.7604077,2.091,34.5971,2023,279.3352634657516,81.76040768737988
Karamoja,Nakapiripirit District,30,32,62,5077,3297,8374.0,8025,7843,15868,3560,2892,6452,11757,10801.0,22558,13,14,27,4877,3228,8105,7335,7585.0,14920,11411,10422,21833,3486,2827,6313,51198,13,13,26,4789,3152,7941,7216,7499,14715,11334,10331,21665,3440,2793,6233,244,698,942,28449,24865,53314,11787,10833,22620,88281.0,111681.0,2641.0,109085.7669,41.30472051,1.7013,34.5971,2023,469.33712302663383,41.304720522529344
North Central,Nakaseke District,18,12,30,11171,9479,20650.0,14657,12489,27146,6075,5496,11571,5681,5811.0,11492,16,11,27,10528,8932,19460,13282,11727.0,25009,5200,5249,10449,5700,5314,11014,65959,26,11,37,10002,8486,18488,12880,12219,25099,4998,5136,10134,5453,4981,10434,363,822,1185,37602,33287,70889,5699,5823,11522,197373.0,251398.0,3475.0,245388.6157,70.61542899,1.2231,32.0837,2023,268.79405066059877,70.61542897841727
North Central,Nakasongola District,58,55,113,14807,11670,26477.0,15982,11315,27297,8444,7614,16058,9353,9146.0,18499,44,50,94,13631,10521,24152,14753,9764.0,24517,8781,8538,17319,7743,6876,14619,80701,44,50,94,13832,10895,24727,14499,10207,24706,8718,8647,17365,7897,7105,15002,630,1421,2051,48644,39800,88444,9411,9201,18612,181795.0,226074.0,3314.0,221199.3009,66.74692243,1.349,32.4467,2023,364.83388361377956,66.74692242003621
Busoga,Namayingo District,68,43,111,22387,13894,36281.0,36438,18179,54617,12545,10416,22961,19234,17713.0,36947,68,44,112,22322,13860,36182,36290,18125.0,54415,19212,17701,36913,12531,10406,22937,150559,68,43,111,22228,13828,36056,36236,18049,54285,19164,17672,36836,12504,10375,22879,2710,5395,8105,90672,60245,150917,19302,17756,37058,215443.0,266716.0,587.0,261082.2827,444.7739058,0.3426,33.8411,2023,576.6726046784331,444.7739057921636
Bugisu,Namisindwa District,40,27,67,4893,3194,8087.0,8167,4499,12666,2850,2294,5144,3353,2899.0,6252,40,27,67,4665,3109,7774,7469,4289.0,11758,3228,2810,6038,2776,2229,5005,30642,40,27,67,4589,3008,7597,7361,4258,11619,3164,2728,5892,2691,2337,5028,788,1179,1967,19303,12913,32216,3393,2926,6319,204281.0,257346.0,298.0,251471.3293,843.8635212,0.9054,34.3754,2023,121.85086898492806,843.8635211409396
Busoga,Namutumba District,11,5,16,14539,8833,23372.0,25639,11957,37596,9281,7377,16658,12635,11320.0,23955,11,5,16,14278,8741,23019,24969,11826.0,36795,12316,11073,23389,9149,7279,16428,99647,11,5,16,14234,8731,22965,24940,11819,36759,12294,11033,23327,9137,7250,16387,796,2203,2999,62105,39492,101597,12646,11325,23971,252557.0,311339.0,812.0,304892.06,375.4828325,0.8493,33.6623,2023,326.8271400704892,375.48283251231527
Karamoja,Napak District,32,33,65,7929,4459,12388.0,11392,3653,15045,5523,4232,9755,13212,11910.0,25122,32,33,65,7851,4429,12280,11256,3606.0,14862,13125,11859,24984,5494,4207,9701,61892,32,33,65,7851,4429,12280,11250,3606,14856,13125,11859,24984,5494,4207,9701,392,1123,1515,38088,24287,62375,13244,11943,25187,142224.0,211830.0,4822.0,203556.9844,42.21422324,2.4265,34.331,2023,304.0524508772395,42.21422322687681
West Nile,Nebbi District,21,13,34,27049,14404,41453.0,35080,12025,47105,13751,12204,25955,21396,20570.0,41966,20,12,32,25088,13517,38605,32796,11365.0,44161,20255,19447,39702,12985,11631,24616,147116,21,13,34,26431,14158,40589,34334,11758,46092,21125,20358,41483,14216,12038,26254,1571,2834,4405,97297,59216,156513,21417,20583,42000,238757.0,299398.0,987.0,292697.9069,296.5530971,2.4104,31.2168,2023,502.6206082514354,296.5530971631206
Teso,Ngora District,20,17,37,14329,9094,23423.0,20310,9050,29360,6908,5302,12210,5896,5048.0,10944,20,17,37,14326,9083,23409,20297,9049.0,29346,5894,5013,10907,6893,5265,12158,75857,17,12,29,13905,8780,22685,19674,8778,28452,5675,4872,10547,6677,4986,11663,1906,3791,5697,47463,28511,75974,5916,5065,10981,141919.0,213777.0,640.0,205196.0208,320.6187825,1.4908,33.7518,2023,369.6806580568935,320.6187825
North Central,North Central,835,719,1554,168829,136942,305771.0,233946,155704,389650,99031,87686,186717,105527,99721.0,205248,632,568,1200,160350,130764,291114,215609,143406.0,359015,100012,94205,194217,93793,83141,176934,1022480,626,520,1146,158954,130019,288973,213252,143751,357003,98557,93227,191784,93439,82702,176141,7983,21194,29177,608168,480772,1088940,106362,100440,206802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0
Tooro,Ntoroko District,2,0,2,1713,1100,2813.0,2420,1208,3628,870,723,1593,1151,1081.0,2232,2,1,3,1660,1068,2728,2339,1166.0,3505,1095,1036,2131,847,688,1535,9902,2,1,3,1549,940,2489,2022,1065,3087,1013,956,1969,778,604,1382,58,100,158,6156,4112,10268,1153,1081,2234,67005.0,114858.0,1236.0,108831.8085,88.05162497,1.0125,30.3897,2023,90.98442942809316,88.051625
Ankole,Ntungamo District,38,27,65,13432,12529,25961.0,17651,11587,29238,5070,4584,9654,4282,3947.0,8229,24,16,40,13191,12252,25443,17232,11271.0,28503,4187,3889,8076,5000,4522,9522,71584,24,16,40,12870,11885,24755,16718,11012,27730,4059,3734,7793,4848,4389,9237,142,582,724,40473,32674,73147,4320,3974,8294,483841.0,552786.0,1999.0,545470.9151,272.8718935,0.9807,30.2513,2023,131.2333948857322,272.8718934967484
Acholi,Nwoya District,33,21,54,16095,8696,24791.0,21939,7887,29826,8989,7502,16491,14327,13977.0,28304,33,20,53,15727,8593,24320,21323,7749.0,29072,14102,13672,27774,8909,7442,16351,97570,33,20,53,15624,8542,24166,21194,7689,28883,13920,13589,27509,8828,7370,16198,878,2077,2955,61383,38083,99466,14360,13998,28358,133506.0,220593.0,4679.0,209788.9613,44.83628154,2.6351,32.0028,2023,465.08643445959996,44.83628153451592
West Nile,Obongi District,8,2,10,23706,16850,40556.0,17861,6020,23881,10448,8810,19258,11868,11734.0,23602,5,2,7,22377,16187,38564,15554,5552.0,21106,11246,10987,22233,10094,8614,18708,100618,5,2,7,22153,16091,38244,15451,5470,20921,11060,10861,21921,130128,8416,138544,395,752,1147,63891,43416,107307,11876,11736,23612,43061.0,142983.0,837.0,126813.1749,151.5091695,3.4335,31.5827,2023,793.434909892789,151.5091695340502
Acholi,Omoro District,21,28,49,25247,12919,38166.0,25774,6379,32153,11501,8754,20255,15868,13988.0,29856,21,27,48,24983,12726,37709,25224,6306.0,31530,15741,13849,29590,11451,8698,20149,119026,21,27,48,24734,12657,37391,24942,6254,31196,15613,13746,29359,11329,8588,19917,1256,2502,3758,78411,42068,120479,15889,14016,29905,142875.0,207339.0,1483.0,199759.9975,134.6999309,2.7152,32.492,2023,595.8450214738314,134.69993088334456
Lango,Otuke District,8,6,14,13187,6655,19842.0,14776,4158,18934,6429,4757,11186,8206,7383.0,15589,8,6,14,13060,6590,19650,14695,4129.0,18824,8178,7360,15538,6390,4728,11118,65144,8,6,14,12866,6463,19329,14463,4052,18515,8030,7224,15254,6287,4643,10930,692,1548,2240,42606,22959,65565,8214,7389,15603,104254.0,161069.0,1549.0,154212.6637,99.55627096,2.5214,33.3486,2023,422.42963993364964,99.55627094899936
Lango,Oyam District,204,164,368,33006,15470,48476.0,42465,15475,57940,12285,9425,21710,18125,16617.0,34742,202,157,359,32940,15424,48364,42379,15454.0,57833,18054,16600,34654,12285,9414,21699,162909,200,156,356,32298,15217,47515,41383,15191,56574,17790,16331,34121,12030,9249,21279,4517,7918,12435,106085,57151,163236,18329,16781,35110,383644.0,477464.0,2196.0,467131.7753,212.7193876,2.2776,32.4467,2023,348.7431354790135,212.7193876593807
Acholi,Pader District,31,32,63,51563,29072,80635.0,45767,13503,59270,21811,16554,38365,24310,22430.0,46740,30,31,61,51524,29022,80546,45654,13393.0,59047,24276,22402,46678,21798,16541,38339,224671,25,29,54,50828,28667,79495,45054,13209,58263,23953,22043,45996,21557,16327,37884,1026,2257,3283,143482,81591,225073,24341,22462,46803,178004.0,240159.0,3326.0,233072.9945,70.07606571,2.9431,32.8084,2023,963.9512311667665,70.07606569452795
West Nile,Pakwach District,84,82,166,21415,10882,32297.0,18352,6315,24667,10424,8672,19096,13882,12883.0,26765,84,82,166,21268,10759,32027,18014,5573.0,23587,13756,12762,26518,10353,8628,18981,101279,84,82,166,20955,10607,31562,17813,5984,23797,13612,12628,26240,10217,8507,18724,1060,1756,2816,64157,38834,102991,13966,12965,26931,158037.0,206961.0,877.0,201453.8355,229.7079082,2.4738,31.3999,2023,502.74049014073006,229.70790820980613
Bukedi,Pallisa District,9,11,20,14216,6927,21143.0,18297,5871,24168,6849,5319,12168,9356,8067.0,17423,9,11,20,14126,6846,20972,18220,5778.0,23998,9311,8014,17325,6792,5269,12061,74376,9,11,20,14700,6833,21533,18059,5739,23798,9278,7979,17257,6779,5257,12036,1380,2910,4290,48727,26195,74922,9365,8078,17443,275128.0,334697.0,796.0,328201.1639,412.3130199,1.2009,33.7071,2023,226.61711224967416,412.31301997487435
South Central,Rakai District,1,3,4,20292,16119,36411.0,19236,10790,30026,9272,8199,17471,6897,6561.0,13458,0,3,3,19472,15390,34862,18531,10179.0,28710,6683,6364,13047,8794,7875,16669,93291,0,3,3,20260,16089,36349,19168,10559,29727,6842,6544,13386,9239,8162,17401,386,997,1383,55698,41672,97370,6898,6564,13462,276746.0,346885.0,1528.0,339136.945,221.9482624,0.7083,31.3542,2023,275.083565431068,221.94826243455498
Kigezi,Rubanda District,1,0,1,226,347,573.0,755,1573,2328,87,61,148,75,78.0,153,1,0,1,210,344,554,725,1555.0,2280,69,71,140,69,57,126,3101,1,0,1,206,342,548,721,1550,2271,69,70,139,68,56,124,1,16,17,1144,2059,3203,76,78,154,196896.0,249454.0,660.0,243621.2204,369.1230612,1.1517,29.8352,2023,12.728776232663515,369.1230612121212
Ankole,Rubirizi District,23,18,41,4247,3723,7970.0,5542,3366,8908,1843,1705,3548,1626,1459.0,3085,23,18,41,4241,3717,7958,5508,3356.0,8864,1617,1453,3070,1839,1699,3538,23471,21,17,38,4115,3616,7731,5357,3236,8593,1588,1418,3006,1797,1659,3456,39,133,172,13281,10271,23552,1649,1477,3126,129149.0,168211.0,1096.0,163824.2009,149.4746358,0.2642,30.1084,2023,143.26943071327383,149.47463585766423
Kigezi,Rukiga District,0,1,1,1117,1145,2262.0,1386,1040,2426,469,421,890,477,352.0,829,0,1,1,1117,1150,2267,1373,1045.0,2418,476,352,828,469,421,890,6404,0,1,1,1109,1133,2242,1361,1020,2381,472,348,820,467,415,882,2,38,40,3449,2959,6408,477,353,830,100726.0,132355.0,426.0,128789.5056,302.322783,1.1326,30.0434,2023,49.72454836413317,302.3227830985916
